id,source,date,gender,age,err_sentence,cor_sentence
grm2209200117597,SNS,20220204,F,17,교재비 걱정 말라구 하시는 부모님께 오히려 죄송스러움,교재비 걱정 말라고 하시는 부모님께 오히려 죄송스러움.
grm2207010029498,자유게시판,20220220,M,19,실재로저중에 모의구사를 보면서 느끼실수잇다,실제로 나중에 모의고사를 보면서 느끼실 수 있다.
grm2206130075236,질문게시판,20180501,M,20,답변 달아주시면 감사하겠슴니다.,답변 달아 주시면 감사하겠습니다.
grm2208080058671,질문게시판,20200514,F,19,글하나에 하나만되는거같아나눠서 올립니다.,글 하나에 하나만 되는 것 같아 나눠서 올립니다.
grm2210140107900,SNS,20220514,M,19,문학에서 시간을 너무 많이 써서 항상 독서 몇지문을 날립니다.,문학에서 시간을 너무 많이 써서 항상 독서 몇 지문을 날립니다.
grm2209090065899,질문게시판,20211109,F,19,이방법은 외 잘못됀건가여?,이 방법은 왜 잘못된 건가요?
grm2209060074639,질문게시판,20180815,M,20,매번 친절하고자세한설명 감사함니다.,매번 친절하고 자세한 설명 감사합니다.
grm2210210105210,SNS,20200603,F,20,수능에 아예 근현대만 따으로 빠졌었잖아.,수능에 아예 근현대만 따로 빠졌었잖아.
grm2208190069150,질문게시판,20210324,M,18,설명하시는부분이 이해가잘안되요.,설명하시는 부분이 이해가 잘 안돼요.
grm2208190078266,질문게시판,20200218,M,21,가수능에 출제될수있슬가요?,가 수능에 출제될 수 있을까요?
grm2207070013390,자유게시판,20210806,F,17,계속 공부해도아직 뭔가 부족한 느낌이예요,계속 공부해도 아직 뭔가 부족한 느낌이에요.
grm2209130107955,SNS,20220513,F,20,솔직히 안될건 없다고봄,솔직히 안될 건 없다고 봄.
grm2206230024340,자유게시판,20210323,F,23,대학별으로 문항들이 물어보는내용이 비슷하다,대학별로 문항들이 물어보는 내용이 비슷하다.
grm2208100082066,질문게시판,20211103,F,18,고런데 타당하지안은결론인이유가 정확히 무엇인가요?,그런데 타당하지 않은 결론인 이유가 정확히 무엇인가요?
grm2206300004054,자유게시판,20211224,F,17,솔찌키 탐구과목 아니라 수학은 개념정리 필요없다고 생각합니다.,솔직히 탐구 과목 아니라 수학은 개념 정리 필요 없다고 생각합니다.
grm2208010051836,질문게시판,20211006,M,20,공주가사죄라는거에대해 의문을가진다.,공주가 사죄하는 것에 대해 의문을 가진다.
grm2207210033170,자유게시판,20201109,M,21,동기부여가돼는 여상감사드립니다,동기부여가 되는 영상 감사드립니다.
grm2210190112859,SNS,20220222,F,16,내가 말하고 싶은건 니가 뭔데?,내가 말하고 싶은 건 네가 뭔데?
grm2209270114944,SNS,20220216,M,17,유치하다구 생각하기두햇다.,유치하다고 생각하기도 했다.
grm2210110108636,SNS,20220427,F,19,수학 밖에서 풀기 힘들구 이제 다 까먹어가지고 닫아놓긴 했는디요.,수학은 밖에서 풀기 힘들고 이제 다 까먹어가지고 닫아놓긴 했는데요.
grm2209080093330,질문게시판,20211115,M,18,근데 그러면 앞에나온 단수이론을 복수로받을수잇는건가요?,근데 그러면 앞에 나온 단수 이론을 복수로 받을 수 있는 건가요?
grm2207250038756,자유게시판,20210820,M,18,혹쉬 주위에 과외 뛰면서 반수하시는분잇나요?,혹시 주위에 과외 뛰면서 반수하시는 분 있나요?
